,home,net_points,net_yard,net_turn,weekly_rank,spread,Win,WinSpread
4125,0,0,0,0,9,-3.0,0.0,0.0
4126,1,0,0,0,24,2.0,1.0,1.0
4127,0,0,0,0,17,-2.0,0.0,0.0
4128,1,7,-66,-2,7,-3.0,0.0,0.0
4129,0,6,46,-1,4,3.0,1.0,1.0
4130,1,-8,80,1,27,2.0,0.0,0.0
4131,0,12,19,0,6,-2.0,1.0,1.0
4132,1,-21,-12,4,28,1.0,1.0,1.0
4133,0,28,36,-1,23,-1.0,0.0,0.0
4134,1,-1,-148,-3,24,-2.0,0.0,0.0
4135,0,2,-4,0,17,2.0,1.0,1.0
4136,1,11,-2,-2,18,-3.0,1.0,1.0
4137,0,-7,66,2,26,3.0,0.0,0.0
4138,1,-12,-19,0,22,-9.0,0.0,0.0
4139,0,-28,-36,1,32,9.0,1.0,1.0
4140,1,-7,103,1,13,-6.0,1.0,1.0
4141,0,17,147,0,19,6.0,0.0,0.0
4142,1,13,38,-3,9,-1.0,0.0,0.0
4143,0,7,-103,-1,1,1.0,1.0,1.0
4144,1,-17,-147,0,25,-2.5,1.0,1.0
4145,0,-5,-181,-1,20,2.5,0.0,0.0
4146,1,20,150,-2,8,-3.5,1.0,1.0
4147,0,5,181,1,10,3.5,0.0,0.0
4148,1,-7,93,1,29,3.0,1.0,1.0
4149,0,3,9,2,14,-3.0,0.0,0.0
4150,1,-11,2,2,30,6.0,1.0,1.0
4151,0,7,-93,-1,16,-6.0,0.0,0.0
4152,1,-20,-150,2,31,6.0,1.0,1.0
4153,0,-6,-46,1,12,-6.0,0.0,0.0
4154,1,-2,4,0,15,-6.0,0.0,0.0
4155,0,1,148,3,5,6.0,1.0,1.0
4156,1,8,-80,-1,2,-3.0,1.0,1.0
4157,0,-3,-9,-2,3,3.0,0.0,0.0
4158,1,-13,-38,3,11,-6.0,0.0,0.0
4159,0,21,12,-4,21,6.0,1.0,1.0
4160,1,-5,-162,-2,26,-3.0,1.0,1.0
4161,0,7,253,2,23,3.0,0.0,0.0
4162,1,-11,-151,1,19,-1.0,0.0,0.0
4163,0,18,147,0,4,1.0,1.0,1.0
4164,1,-7,-123,1,21,-3.0,0.0,0.0
4165,0,-16,-195,1,28,3.0,1.0,1.0
4166,1,-7,-120,-2,16,-2.0,1.0,1.0
4167,0,0,146,2,13,2.0,0.0,0.0
4168,1,-10,-1,2,17,-1.0,0.0,0.0
4169,0,25,185,-3,6,1.0,1.0,1.0
4170,1,14,147,2,27,3.5,0.0,1.0
4171,0,-26,-39,7,18,-3.5,1.0,0.0
4172,1,34,13,-8,9,-3.0,0.0,0.0
4173,0,-12,-129,1,22,3.0,1.0,1.0
4174,1,-14,16,2,25,-6.0,1.0,1.0
4175,0,-21,-26,0,29,6.0,0.0,0.0
4176,1,11,281,2,12,0.0,0.0,0.0
4177,0,6,10,-1,11,0.0,1.0,1.0
4178,1,18,48,-2,14,-9.5,1.0,0.0
4179,0,-19,-29,1,30,9.5,0.0,1.0
4180,1,15,55,-2,1,-14.0,1.0,1.0
4181,0,-8,12,2,31,14.0,0.0,0.0
4182,1,37,-16,0,3,-7.0,1.0,1.0
4183,0,-8,103,1,20,7.0,0.0,0.0
4184,1,4,-103,-1,15,-1.0,0.0,0.0
4185,0,5,-120,-2,8,1.0,1.0,1.0
4186,1,-13,-46,-1,7,-16.5,1.0,1.0
4187,0,-33,115,1,32,16.5,0.0,0.0
4188,1,-15,-208,1,24,3.0,0.0,0.0
4189,0,13,31,-5,5,-3.0,1.0,1.0
4190,1,18,-43,-2,2,-5.5,1.0,1.0
4191,0,0,-51,2,10,5.5,0.0,0.0
4192,1,24,148,0,8,3.0,0.0,0.5
4193,0,-14,-61,1,22,-3.0,1.0,0.5
4194,1,-23,-140,2,23,2.5,0.0,0.0
4195,0,27,105,-5,15,-2.5,1.0,1.0
4196,1,-24,-94,7,14,-4.0,1.0,0.0
4197,0,-42,-166,3,29,4.0,0.0,1.0
4198,1,32,-83,-5,10,-6.0,0.0,0.0
4199,0,6,-192,-5,16,6.0,1.0,1.0
4200,1,-59,-110,1,32,3.0,1.0,1.0
4201,0,-9,-81,0,20,-3.0,0.0,0.0
4202,1,17,101,-2,6,-4.5,1.0,1.0
4203,0,-4,111,2,21,4.5,0.0,0.0
4204,1,29,245,-2,5,-3.5,1.0,1.0
4205,0,-10,-173,3,12,3.5,0.0,0.0
4206,1,-4,283,5,27,3.0,1.0,1.0
4207,0,-5,-221,-2,17,-3.0,0.0,0.0
4208,1,-31,-121,0,30,3.0,0.0,0.0
4209,0,23,99,-4,9,-3.0,1.0,1.0
4210,1,-17,231,3,18,-5.0,1.0,0.0
4211,0,-14,-237,2,26,5.0,0.0,1.0
4212,1,77,274,-3,2,-7.0,0.0,0.0
4213,0,-17,-152,1,19,7.0,1.0,1.0
4214,1,25,95,-6,4,-7.0,1.0,0.0
4215,0,10,-205,-3,13,7.0,0.0,1.0
4216,1,-48,-187,4,28,7.5,0.0,0.0
4217,0,28,79,-3,3,-7.5,1.0,1.0
4218,1,-24,-80,3,31,-3.0,1.0,1.0
4219,0,0,190,3,11,3.0,0.0,0.0
4220,1,13,179,-1,7,-10.0,1.0,0.0
4221,0,-27,-272,2,25,10.0,0.0,1.0
4222,1,-31,161,6,28,-5.0,0.0,0.0
4223,0,-21,-199,9,16,5.0,1.0,1.0
4224,1,-11,32,3,19,-6.0,0.0,0.0
4225,0,-17,-243,3,25,6.0,1.0,1.0
4226,1,-25,-157,4,18,-9.0,0.0,0.0
4227,0,-57,-5,2,29,9.0,1.0,1.0
4228,1,44,51,-6,6,-7.0,1.0,0.0
4229,0,-1,380,4,24,7.0,0.0,1.0
4230,1,42,245,-4,2,-9.0,1.0,1.0
4231,0,-15,-271,-2,11,9.0,0.0,0.0
4232,1,-45,46,4,32,-1.0,1.0,1.0
4233,0,-45,-61,1,31,1.0,0.0,0.0
4234,1,44,229,-3,5,-3.0,1.0,0.5
4235,0,16,268,1,7,3.0,0.0,0.5
4236,1,12,202,2,23,1.0,0.0,0.5
4237,0,18,-73,-4,12,-1.0,1.0,0.5
4238,1,-8,-318,-1,22,-6.5,1.0,1.0
4239,0,-18,23,3,21,6.5,0.0,0.0
4240,1,-30,-361,0,26,4.5,0.0,0.0
4241,0,75,393,0,4,-4.5,1.0,1.0
4242,1,-11,-186,-1,20,5.5,0.0,0.0
4243,0,28,114,-5,3,-5.5,1.0,1.0
4244,1,-6,87,3,13,8.5,0.0,0.0
4245,0,49,233,-3,1,-8.5,1.0,1.0
4246,1,20,-202,-6,15,-7.5,1.0,0.0
4247,0,-62,-353,5,27,7.5,0.0,1.0
4248,1,-14,237,2,17,-4.0,0.0,0.0
4249,0,21,55,-2,10,4.0,1.0,1.0
4250,1,-40,-108,5,26,3.0,1.0,1.0
4251,0,50,199,-5,3,-3.0,0.0,0.0
4252,1,40,304,-6,11,-7.5,1.0,1.0
4253,0,-7,232,3,21,7.5,0.0,0.0
4254,1,19,-140,-4,10,3.0,0.0,0.0
4255,0,47,251,-2,5,-3.0,1.0,1.0
4256,1,-14,-115,3,20,3.5,0.0,1.0
4257,0,34,123,-6,4,-3.5,1.0,0.0
4258,1,-55,-271,6,31,-3.5,1.0,0.0
4259,0,-56,36,3,24,3.5,0.0,1.0
4260,1,-52,-105,3,32,-3.0,0.0,0.0
4261,0,-38,282,8,30,3.0,1.0,1.0
4262,1,7,-224,-4,16,-3.5,1.0,1.0
4263,0,-26,-198,3,19,3.5,0.0,0.0
4264,1,11,269,2,27,-2.0,0.0,0.0
4265,0,-36,-339,3,29,2.0,1.0,1.0
4266,1,25,-2,-3,9,5.0,1.0,1.0
4267,0,100,303,-6,6,-5.0,0.0,0.0
4268,1,13,246,0,8,-7.0,0.0,0.0
4269,0,37,-68,-8,7,7.0,1.0,1.0
4270,1,56,233,-5,2,-10.5,1.0,0.0
4271,0,-18,294,3,14,10.5,0.0,1.0
4272,1,-65,-498,4,25,2.0,1.0,1.0
4273,0,-14,-96,3,23,-2.0,0.0,0.0
4274,1,-14,-320,7,13,9.0,0.0,1.0
4275,0,73,324,-5,1,-9.0,1.0,0.0
4276,1,14,-187,-3,15,-3.5,1.0,1.0
4277,0,23,-57,-5,12,3.5,0.0,0.0
