,home,point_diff,yard_diff,turn_diff,rank_diff,spread,Win,WinSpread
4580,1,197,22,-21,-18,-9.5,1.0,0.0
4581,0,-197,-22,21,18,9.5,0.0,1.0
4582,1,68,529,7,-5,-6.0,0.0,0.0
4583,0,-68,-529,-7,5,6.0,1.0,1.0
4584,1,-249,-1756,10,24,10.0,1.0,1.0
4585,0,249,1756,-10,-24,-10.0,0.0,0.0
4586,1,50,646,-9,-12,-6.0,1.0,1.0
4587,0,-50,-646,9,12,6.0,0.0,0.0
4588,1,-226,-1042,9,21,13.0,0.0,0.0
4589,0,226,1042,-9,-21,-13.0,1.0,1.0
4590,1,-63,-744,4,11,3.0,1.0,1.0
4591,0,63,744,-4,-11,-3.0,0.0,0.0
4592,1,-86,71,19,17,-3.0,0.0,0.0
4593,0,86,-71,-19,-17,3.0,1.0,1.0
4594,1,41,-308,-10,2,-3.0,0.0,0.0
4595,0,-41,308,10,-2,3.0,1.0,1.0
4596,1,123,628,-8,-24,-10.0,1.0,0.0
4597,0,-123,-628,8,24,10.0,0.0,1.0
4598,1,-105,-403,7,14,3.0,1.0,1.0
4599,0,105,403,-7,-14,-3.0,0.0,0.0
4600,1,211,176,-23,-20,-10.0,1.0,1.0
4601,0,-211,-176,23,20,10.0,0.0,0.0
4602,1,90,240,-8,-9,-6.0,0.0,0.0
4603,0,-90,-240,8,9,6.0,1.0,1.0
4604,1,146,221,-15,-6,-6.5,1.0,0.0
4605,0,-146,-221,15,6,6.5,0.0,1.0
4606,1,-4,-42,0,-3,-3.0,0.0,0.0
4607,0,4,42,0,3,3.0,1.0,1.0
